feature,importance
ruca_code,0.293382
housing_units,0.111969
fdic_total_branch_deposits_k_chg3yr,0.056251
median_hh_income,0.042574
fdic_branch_count,0.037688
is_persistent_poverty,0.029702
population,0.027820
is_rural,0.027172
pct_minority,0.025899
cra_county_count_hhi,0.024369
cra_county_top_lender_share_count,0.022049
fdic_top_bank_share_chg3yr,0.018177
pct_hispanic,0.017932
fdic_bank_count,0.017125
fdic_total_branch_deposits_k,0.017063
fdic_total_branch_deposits_k_pctchg3yr,0.016506
pct_black,0.015102
pct_poverty,0.014198
fdic_deposit_hhi,0.013223
fdic_deposit_hhi_chg3yr,0.012931
fdic_bank_count_chg3yr,0.012760
cra_county_top_lender_share_amount,0.011857
pct_vacant,0.011462
fdic_branch_count_chg3yr,0.011105
cra_county_amount_hhi,0.011035
fdic_total_branch_deposits_k_chg1yr,0.010848
fdic_bank_count_chg1yr,0.010771
fdic_avg_branch_deposits_k,0.009586
fdic_branch_count_chg1yr,0.008802
fdic_top_bank_share,0.008703
fdic_avg_branch_deposits_k_chg3yr,0.008626
fdic_total_branch_deposits_k_pctchg1yr,0.008128
fdic_avg_branch_deposits_k_chg1yr,0.007357
fdic_deposit_hhi_chg1yr,0.007350
unemployment_rate,0.007034
pct_bachelor_plus,0.006839
fdic_top_bank_share_chg1yr,0.006604
n_white,0.000000
sum_loan_amount,0.000000
n_withdrawn,0.000000
approval_rate,0.000000
n_purchased,0.000000
n_other_race,0.000000
n_originated,0.000000
n_hispanic,0.000000
n_distinct_lenders,0.000000
n_denied,0.000000
n_black,0.000000
n_asian,0.000000
n_applications,0.000000
mean_loan_amount,0.000000
denial_rate,0.000000
has_hmda,0.000000